"Spend Period (Daily)","DOW","Slicer 1","Slicer 2","Slicer 3","Slicer 4","Slicer 5","10% Bucket","total_revenue_shared (SUM)"
"2026-08-18 00:00:00","3.Tuesday","Earth's Last Stand","Overall","Overall","Overall","Overall","50-60%",12.825640000000003
"2026-08-18 00:00:00","3.Tuesday","Earth's Last Stand","Overall","Overall","Overall","Overall","60-70%",13.467410000000003
"2026-08-18 00:00:00","3.Tuesday","Earth's Last Stand","Overall","Overall","Overall","Overall","70-80%",9.67342
"2026-08-18 00:00:00","3.Tuesday","Earth's Last Stand","Overall","Overall","Overall","Overall","80-90%",10.37878
"2026-08-18 00:00:00","3.Tuesday","Earth's Last Stand","Overall","Overall","Overall","Overall","90-100%",8.20983
"2026-08-18 00:00:00","3.Tuesday","Secret Fauji | सीक्रेट फौजी","Overall","Overall","Overall","Overall","0-10%",16.292350000000006
"2026-08-18 00:00:00","3.Tuesday","Secret Fauji | सीक्रेट फौजी","Overall","Overall","Overall","Overall","10-20%",25.220289999999995
"2026-08-18 00:00:00","3.Tuesday","Secret Fauji | सीक्रेट फौजी","Overall","Overall","Overall","Overall","20-30%",11.821510000000002
"2026-08-18 00:00:00","3.Tuesday","Secret Fauji | सीक्रेट फौजी","Overall","Overall","Overall","Overall","30-40%",2.5356199999999998
"2026-08-18 00:00:00","3.Tuesday","Secret Fauji | सीक्रेट फौजी","Overall","Overall","Overall","Overall","40-50%",10.00379
"2026-08-18 00:00:00","3.Tuesday","Secret Fauji | सीक्रेट फौजी","Overall","Overall","Overall","Overall","50-60%",11.959119999999995
"2026-08-18 00:00:00","3.Tuesday","Secret Fauji | सीक्रेट फौजी","Overall","Overall","Overall","Overall","60-70%",7.485960000000003
"2026-08-18 00:00:00","3.Tuesday","Secret Fauji | सीक्रेट फौजी","Overall","Overall","Overall","Overall","70-80%",0.66115
"2026-08-18 00:00:00","3.Tuesday","Secret Fauji | सीक्रेट फौजी","Overall","Overall","Overall","Overall","80-90%",6.1411
"2026-08-18 00:00:00","3.Tuesday","Secret Fauji | सीक्रेट फौजी","Overall","Overall","Overall","Overall","90-100%",1.9961000000000002
"2026-08-18 00:00:00","3.Tuesday","Gangster Billionaire | गैंगस्टर बिलिनेर","Overall","Overall","Overall","Overall","30-40%",6.9048500000000015
"2026-08-18 00:00:00","3.Tuesday","Gangster Billionaire | गैंगस्टर बिलिनेर","Overall","Overall","Overall","Overall","40-50%",15.020000000000005
"2026-08-18 00:00:00","3.Tuesday","Gangster Billionaire | गैंगस्टर बिलिनेर","Overall","Overall","Overall","Overall","50-60%",7.634590000000003
"2026-08-18 00:00:00","3.Tuesday","Gangster Billionaire | गैंगस्टर बिलिनेर","Overall","Overall","Overall","Overall","60-70%",7.628610000000004
"2026-08-18 00:00:00","3.Tuesday","Gangster Billionaire | गैंगस्टर बिलिनेर","Overall","Overall","Overall","Overall","70-80%",13.967829999999998
"2026-08-18 00:00:00","3.Tuesday","Gangster Billionaire | गैंगस्टर बिलिनेर","Overall","Overall","Overall","Overall","80-90%",6.985299999999994
"2026-08-18 00:00:00","3.Tuesday","Gangster Billionaire | गैंगस्टर बिलिनेर","Overall","Overall","Overall","Overall","90-100%",4.829889999999999
"2026-08-18 00:00:00","3.Tuesday","Vashikaran | वशीकरण","Overall","Overall","Overall","Overall","0-10%",1.3122
"2026-08-18 00:00:00","3.Tuesday","Vashikaran | वशीकरण","Overall","Overall","Overall","Overall","10-20%",5.307379999999999
"2026-08-18 00:00:00","3.Tuesday","Vashikaran | वशीकरण","Overall","Overall","Overall","Overall","20-30%",4.24278
"2026-08-18 00:00:00","3.Tuesday","Vashikaran | वशीकरण","Overall","Overall","Overall","Overall","30-40%",4.35241
"2026-08-18 00:00:00","3.Tuesday","Vashikaran | वशीकरण","Overall","Overall","Overall","Overall","40-50%",3.8894
"2026-08-18 00:00:00","3.Tuesday","Vashikaran | वशीकरण","Overall","Overall","Overall","Overall","50-60%",2.10957
"2026-08-18 00:00:00","3.Tuesday","Vashikaran | वशीकरण","Overall","Overall","Overall","Overall","60-70%",3.71974
"2026-08-18 00:00:00","3.Tuesday","Vashikaran | वशीकरण","Overall","Overall","Overall","Overall","70-80%",4.02305
"2026-08-18 00:00:00","3.Tuesday","Vashikaran | वशीकरण","Overall","Overall","Overall","Overall","80-90%",5.570680000000001
"2026-08-18 00:00:00","3.Tuesday","Vashikaran | वशीकरण","Overall","Overall","Overall","Overall","90-100%",5.26287
"2026-08-18 00:00:00","3.Tuesday","The Return of Zombie  Father | द रिटर्न ऑफ़ ज़ॉम्बी फ़ादर","Overall","Overall","Overall","Overall","0-10%",3.1879900000000005
"2026-08-18 00:00:00","3.Tuesday","The Return of Zombie  Father | द रिटर्न ऑफ़ ज़ॉम्बी फ़ादर","Overall","Overall","Overall","Overall","10-20%",4.413670000000001
"2026-08-18 00:00:00","3.Tuesday","The Return of Zombie  Father | द रिटर्न ऑफ़ ज़ॉम्बी फ़ादर","Overall","Overall","Overall","Overall","20-30%",4.9437500000000005
"2026-08-18 00:00:00","3.Tuesday","The Return of Zombie  Father | द रिटर्न ऑफ़ ज़ॉम्बी फ़ादर","Overall","Overall","Overall","Overall","30-40%",5.11072
"2026-08-18 00:00:00","3.Tuesday","The Return of Zombie  Father | द रिटर्न ऑफ़ ज़ॉम्बी फ़ादर","Overall","Overall","Overall","Overall","40-50%",3.7729399999999997
"2026-08-18 00:00:00","3.Tuesday","The Return of Zombie  Father | द रिटर्न ऑफ़ ज़ॉम्बी फ़ादर","Overall","Overall","Overall","Overall","50-60%",2.38031
"2026-08-18 00:00:00","3.Tuesday","The Return of Zombie  Father | द रिटर्न ऑफ़ ज़ॉम्बी फ़ादर","Overall","Overall","Overall","Overall","60-70%",0.3469
"2026-08-18 00:00:00","3.Tuesday","The Return of Zombie  Father | द रिटर्न ऑफ़ ज़ॉम्बी फ़ादर","Overall","Overall","Overall","Overall","70-80%",2.3930100000000007
"2026-08-18 00:00:00","3.Tuesday","The Return of Zombie  Father | द रिटर्न ऑफ़ ज़ॉम्बी फ़ादर","Overall","Overall","Overall","Overall","80-90%",5.8566
"2026-08-18 00:00:00","3.Tuesday","The Return of Zombie  Father | द रिटर्न ऑफ़ ज़ॉम्बी फ़ादर","Overall","Overall","Overall","Overall","90-100%",2.31389
"2026-08-18 00:00:00","3.Tuesday","Zombie Pralay","Overall","Overall","Overall","Overall","0-10%",3.13607
"2026-08-18 00:00:00","3.Tuesday","Zombie Pralay","Overall","Overall","Overall","Overall","10-20%",5.696930000000002
"2026-08-18 00:00:00","3.Tuesday","Zombie Pralay","Overall","Overall","Overall","Overall","20-30%",11.932639999999996
"2026-08-18 00:00:00","3.Tuesday","Zombie Pralay","Overall","Overall","Overall","Overall","30-40%",2.6502199999999996
"2026-08-18 00:00:00","3.Tuesday","Zombie Pralay","Overall","Overall","Overall","Overall","90-100%",0.43162
"2026-08-18 00:00:00","3.Tuesday","Commander Vikram Chauhan । कमांडर विक्रम चौहान","Overall","Overall","Overall","Overall","0-10%",1.25258
"2026-08-18 00:00:00","3.Tuesday","Commander Vikram Chauhan । कमांडर विक्रम चौहान","Overall","Overall","Overall","Overall","10-20%",0.9235699999999998
"2026-08-18 00:00:00","3.Tuesday","Commander Vikram Chauhan । कमांडर विक्रम चौहान","Overall","Overall","Overall","Overall","20-30%",1.54363
"2026-08-18 00:00:00","3.Tuesday","Commander Vikram Chauhan । कमांडर विक्रम चौहान","Overall","Overall","Overall","Overall","30-40%",2.08923
"2026-08-18 00:00:00","3.Tuesday","Commander Vikram Chauhan । कमांडर विक्रम चौहान","Overall","Overall","Overall","Overall","40-50%",1.38814
"2026-08-18 00:00:00","3.Tuesday","Commander Vikram Chauhan । कमांडर विक्रम चौहान","Overall","Overall","Overall","Overall","50-60%",1.3720399999999997
"2026-08-18 00:00:00","3.Tuesday","Commander Vikram Chauhan । कमांडर विक्रम चौहान","Overall","Overall","Overall","Overall","60-70%",0.19854
"2026-08-18 00:00:00","3.Tuesday","Commander Vikram Chauhan । कमांडर विक्रम चौहान","Overall","Overall","Overall","Overall","70-80%",0.6543599999999998
"2026-08-18 00:00:00","3.Tuesday","Commander Vikram Chauhan । कमांडर विक्रम चौहान","Overall","Overall","Overall","Overall","80-90%",1.06854
"2026-08-18 00:00:00","3.Tuesday","Commander Vikram Chauhan । कमांडर विक्रम चौहान","Overall","Overall","Overall","Overall","90-100%",1.33535
"2026-08-18 00:00:00","3.Tuesday","Detective Vikrant","Overall","Overall","Overall","Overall","0-10%",2.60531
"2026-08-18 00:00:00","3.Tuesday","Detective Vikrant","Overall","Overall","Overall","Overall","10-20%",0.53218
"2026-08-18 00:00:00","3.Tuesday","Detective Vikrant","Overall","Overall","Overall","Overall","20-30%",0.50805
"2026-08-18 00:00:00","3.Tuesday","Detective Vikrant","Overall","Overall","Overall","Overall","30-40%",0.39011
"2026-08-18 00:00:00","3.Tuesday","Detective Vikrant","Overall","Overall","Overall","Overall","60-70%",0.6170400000000001
"2026-08-18 00:00:00","3.Tuesday","Detective Vikrant","Overall","Overall","Overall","Overall","80-90%",0.98542
"2026-08-18 00:00:00","3.Tuesday","Detective Vikrant","Overall","Overall","Overall","Overall","90-100%",0.8300900000000002
"2026-08-18 00:00:00","3.Tuesday","Saaya: A Cursed Love Story |साया : अ कर्सड लव स्टोरी","Overall","Overall","Overall","Overall","30-40%",0.06692
"2026-08-18 00:00:00","3.Tuesday","Saaya: A Cursed Love Story |साया : अ कर्सड लव स्टोरी","Overall","Overall","Overall","Overall","50-60%",1.15067
"2026-08-18 00:00:00","3.Tuesday","Saaya: A Cursed Love Story |साया : अ कर्सड लव स्टोरी","Overall","Overall","Overall","Overall","60-70%",0.055009999999999996
"2026-08-18 00:00:00","3.Tuesday","Saaya: A Cursed Love Story |साया : अ कर्सड लव स्टोरी","Overall","Overall","Overall","Overall","70-80%",0.20859
"2026-08-18 00:00:00","3.Tuesday","Saaya: A Cursed Love Story |साया : अ कर्सड लव स्टोरी","Overall","Overall","Overall","Overall","80-90%",0.35520999999999997
"2026-08-18 00:00:00","3.Tuesday","Saaya: A Cursed Love Story |साया : अ कर्सड लव स्टोरी","Overall","Overall","Overall","Overall","90-100%",1.3328000000000002
"2026-08-18 00:00:00","3.Tuesday","Mrityunjay | मृत्युंजय","Overall","Overall","Overall","Overall","80-90%",1.73221
"2026-08-18 00:00:00","3.Tuesday","Mrityunjay | मृत्युंजय","Overall","Overall","Overall","Overall","90-100%",0.33674
"2026-08-17 00:00:00","2.Monday","Shiva : Ek Pretyodha","Overall","Overall","Overall","Overall","0-10%",54.640119999999946
"2026-08-17 00:00:00","2.Monday","Shiva : Ek Pretyodha","Overall","Overall","Overall","Overall","10-20%",81.90892000000001
"2026-08-17 00:00:00","2.Monday","Shiva : Ek Pretyodha","Overall","Overall","Overall","Overall","20-30%",78.32111000000003
"2026-08-17 00:00:00","2.Monday","Shiva : Ek Pretyodha","Overall","Overall","Overall","Overall","30-40%",44.14811
"2026-08-17 00:00:00","2.Monday","Shiva : Ek Pretyodha","Overall","Overall","Overall","Overall","40-50%",30.99750000000001
"2026-08-17 00:00:00","2.Monday","Shiva : Ek Pretyodha","Overall","Overall","Overall","Overall","50-60%",18.135180000000002
"2026-08-17 00:00:00","2.Monday","Shiva : Ek Pretyodha","Overall","Overall","Overall","Overall","60-70%",10.629969999999997
"2026-08-17 00:00:00","2.Monday","Shiva : Ek Pretyodha","Overall","Overall","Overall","Overall","70-80%",10.006749999999998
"2026-08-17 00:00:00","2.Monday","Shiva : Ek Pretyodha","Overall","Overall","Overall","Overall","80-90%",35.07488
"2026-08-17 00:00:00","2.Monday","Shiva : Ek Pretyodha","Overall","Overall","Overall","Overall","90-100%",38.826490000000014
"2026-08-17 00:00:00","2.Monday","Earth's Last Stand","Overall","Overall","Overall","Overall","0-10%",1.1325399999999999
"2026-08-17 00:00:00","2.Monday","Earth's Last Stand","Overall","Overall","Overall","Overall","10-20%",25.11747
"2026-08-17 00:00:00","2.Monday","Earth's Last Stand","Overall","Overall","Overall","Overall","20-30%",22.34117999999999
"2026-08-17 00:00:00","2.Monday","Earth's Last Stand","Overall","Overall","Overall","Overall","30-40%",14.357
"2026-08-17 00:00:00","2.Monday","Earth's Last Stand","Overall","Overall","Overall","Overall","40-50%",17.981960000000004
"2026-08-17 00:00:00","2.Monday","Earth's Last Stand","Overall","Overall","Overall","Overall","50-60%",14.84731
"2026-08-17 00:00:00","2.Monday","Earth's Last Stand","Overall","Overall","Overall","Overall","60-70%",12.570539999999998
"2026-08-17 00:00:00","2.Monday","Earth's Last Stand","Overall","Overall","Overall","Overall","70-80%",7.990780000000001
"2026-08-17 00:00:00","2.Monday","Earth's Last Stand","Overall","Overall","Overall","Overall","80-90%",11.940000000000001
"2026-08-17 00:00:00","2.Monday","Earth's Last Stand","Overall","Overall","Overall","Overall","90-100%",4.606280000000001
"2026-08-17 00:00:00","2.Monday","Secret Fauji | सीक्रेट फौजी","Overall","Overall","Overall","Overall","0-10%",19.687059999999995
"2026-08-17 00:00:00","2.Monday","Secret Fauji | सीक्रेट फौजी","Overall","Overall","Overall","Overall","10-20%",25.300240000000006
"2026-08-17 00:00:00","2.Monday","Secret Fauji | सीक्रेट फौजी","Overall","Overall","Overall","Overall","20-30%",5.599040000000001
"2026-08-17 00:00:00","2.Monday","Secret Fauji | सीक्रेट फौजी","Overall","Overall","Overall","Overall","30-40%",6.833570000000001
"2026-08-17 00:00:00","2.Monday","Secret Fauji | सीक्रेट फौजी","Overall","Overall","Overall","Overall","40-50%",5.392919999999999
"2026-08-17 00:00:00","2.Monday","Secret Fauji | सीक्रेट फौजी","Overall","Overall","Overall","Overall","50-60%",7.927319999999998
"2026-08-17 00:00:00","2.Monday","Secret Fauji | सीक्रेट फौजी","Overall","Overall","Overall","Overall","60-70%",5.919080000000001
"2026-08-17 00:00:00","2.Monday","Secret Fauji | सीक्रेट फौजी","Overall","Overall","Overall","Overall","70-80%",5.616709999999999
"2026-08-17 00:00:00","2.Monday","Secret Fauji | सीक्रेट फौजी","Overall","Overall","Overall","Overall","80-90%",2.9787699999999995
"2026-08-17 00:00:00","2.Monday","Secret Fauji | सीक्रेट फौजी","Overall","Overall","Overall","Overall","90-100%",3.3966000000000003
"2026-08-17 00:00:00","2.Monday","Vashikaran | वशीकरण","Overall","Overall","Overall","Overall","0-10%",0.13113
"2026-08-17 00:00:00","2.Monday","Vashikaran | वशीकरण","Overall","Overall","Overall","Overall","10-20%",3.88781
"2026-08-17 00:00:00","2.Monday","Vashikaran | वशीकरण","Overall","Overall","Overall","Overall","20-30%",8.990489999999998
"2026-08-17 00:00:00","2.Monday","Vashikaran | वशीकरण","Overall","Overall","Overall","Overall","30-40%",4.991219999999998
"2026-08-17 00:00:00","2.Monday","Vashikaran | वशीकरण","Overall","Overall","Overall","Overall","40-50%",2.1015900000000003
"2026-08-17 00:00:00","2.Monday","Vashikaran | वशीकरण","Overall","Overall","Overall","Overall","50-60%",1.9843600000000001
"2026-08-17 00:00:00","2.Monday","Vashikaran | वशीकरण","Overall","Overall","Overall","Overall","60-70%",5.91915
"2026-08-17 00:00:00","2.Monday","Vashikaran | वशीकरण","Overall","Overall","Overall","Overall","70-80%",2.5663199999999997
"2026-08-17 00:00:00","2.Monday","Vashikaran | वशीकरण","Overall","Overall","Overall","Overall","80-90%",6.363619999999998
"2026-08-17 00:00:00","2.Monday","Vashikaran | वशीकरण","Overall","Overall","Overall","Overall","90-100%",9.278810000000004
"2026-08-17 00:00:00","2.Monday","The Return of Zombie  Father | द रिटर्न ऑफ़ ज़ॉम्बी फ़ादर","Overall","Overall","Overall","Overall","0-10%",1.00056
"2026-08-17 00:00:00","2.Monday","The Return of Zombie  Father | द रिटर्न ऑफ़ ज़ॉम्बी फ़ादर","Overall","Overall","Overall","Overall","10-20%",1.22722
"2026-08-17 00:00:00","2.Monday","The Return of Zombie  Father | द रिटर्न ऑफ़ ज़ॉम्बी फ़ादर","Overall","Overall","Overall","Overall","20-30%",3.715580000000001
"2026-08-17 00:00:00","2.Monday","The Return of Zombie  Father | द रिटर्न ऑफ़ ज़ॉम्बी फ़ादर","Overall","Overall","Overall","Overall","30-40%",3.8225799999999994
"2026-08-17 00:00:00","2.Monday","The Return of Zombie  Father | द रिटर्न ऑफ़ ज़ॉम्बी फ़ादर","Overall","Overall","Overall","Overall","40-50%",4.2407699999999995
"2026-08-17 00:00:00","2.Monday","The Return of Zombie  Father | द रिटर्न ऑफ़ ज़ॉम्बी फ़ादर","Overall","Overall","Overall","Overall","50-60%",2.14663
"2026-08-17 00:00:00","2.Monday","The Return of Zombie  Father | द रिटर्न ऑफ़ ज़ॉम्बी फ़ादर","Overall","Overall","Overall","Overall","60-70%",0.41064
"2026-08-17 00:00:00","2.Monday","The Return of Zombie  Father | द रिटर्न ऑफ़ ज़ॉम्बी फ़ादर","Overall","Overall","Overall","Overall","70-80%",2.5134700000000003
"2026-08-17 00:00:00","2.Monday","The Return of Zombie  Father | द रिटर्न ऑफ़ ज़ॉम्बी फ़ादर","Overall","Overall","Overall","Overall","80-90%",4.8401
"2026-08-17 00:00:00","2.Monday","The Return of Zombie  Father | द रिटर्न ऑफ़ ज़ॉम्बी फ़ादर","Overall","Overall","Overall","Overall","90-100%",1.53834
"2026-08-17 00:00:00","2.Monday","Commander Vikram Chauhan । कमांडर विक्रम चौहान","Overall","Overall","Overall","Overall","0-10%",2.81588
"2026-08-17 00:00:00","2.Monday","Commander Vikram Chauhan । कमांडर विक्रम चौहान","Overall","Overall","Overall","Overall","10-20%",2.9823500000000003
"2026-08-17 00:00:00","2.Monday","Commander Vikram Chauhan । कमांडर विक्रम चौहान","Overall","Overall","Overall","Overall","20-30%",0.9803200000000001
"2026-08-17 00:00:00","2.Monday","Commander Vikram Chauhan । कमांडर विक्रम चौहान","Overall","Overall","Overall","Overall","30-40%",0.74216
"2026-08-17 00:00:00","2.Monday","Commander Vikram Chauhan । कमांडर विक्रम चौहान","Overall","Overall","Overall","Overall","40-50%",0.08037
"2026-08-17 00:00:00","2.Monday","Commander Vikram Chauhan । कमांडर विक्रम चौहान","Overall","Overall","Overall","Overall","50-60%",0.06514
"2026-08-17 00:00:00","2.Monday","Commander Vikram Chauhan । कमांडर विक्रम चौहान","Overall","Overall","Overall","Overall","60-70%",0.35405000000000003
"2026-08-17 00:00:00","2.Monday","Commander Vikram Chauhan । कमांडर विक्रम चौहान","Overall","Overall","Overall","Overall","70-80%",0.65068
"2026-08-17 00:00:00","2.Monday","Commander Vikram Chauhan । कमांडर विक्रम चौहान","Overall","Overall","Overall","Overall","80-90%",4.420370000000002
"2026-08-17 00:00:00","2.Monday","Commander Vikram Chauhan । कमांडर विक्रम चौहान","Overall","Overall","Overall","Overall","90-100%",1.46406
"2026-08-17 00:00:00","2.Monday","Zombie Pralay","Overall","Overall","Overall","Overall","0-10%",2.3928
"2026-08-17 00:00:00","2.Monday","Zombie Pralay","Overall","Overall","Overall","Overall","10-20%",7.739420000000002
"2026-08-17 00:00:00","2.Monday","Zombie Pralay","Overall","Overall","Overall","Overall","20-30%",1.56596
"2026-08-17 00:00:00","2.Monday","Gangster Billionaire | गैंगस्टर बिलिनेर","Overall","Overall","Overall","Overall","30-40%",6.0802299999999985
"2026-08-17 00:00:00","2.Monday","Gangster Billionaire | गैंगस्टर बिलिनेर","Overall","Overall","Overall","Overall","40-50%",0.99702
"2026-08-17 00:00:00","2.Monday","Gangster Billionaire | गैंगस्टर बिलिनेर","Overall","Overall","Overall","Overall","50-60%",0.7202300000000001
"2026-08-17 00:00:00","2.Monday","Gangster Billionaire | गैंगस्टर बिलिनेर","Overall","Overall","Overall","Overall","60-70%",0.40328
"2026-08-17 00:00:00","2.Monday","Gangster Billionaire | गैंगस्टर बिलिनेर","Overall","Overall","Overall","Overall","70-80%",2.90634
"2026-08-17 00:00:00","2.Monday","Detective Vikrant","Overall","Overall","Overall","Overall","0-10%",3.37461
"2026-08-17 00:00:00","2.Monday","Detective Vikrant","Overall","Overall","Overall","Overall","10-20%",1.21828
"2026-08-17 00:00:00","2.Monday","Detective Vikrant","Overall","Overall","Overall","Overall","20-30%",0.8275899999999998
"2026-08-17 00:00:00","2.Monday","Detective Vikrant","Overall","Overall","Overall","Overall","30-40%",0.08859
"2026-08-17 00:00:00","2.Monday","Detective Vikrant","Overall","Overall","Overall","Overall","60-70%",0.65945
"2026-08-17 00:00:00","2.Monday","Detective Vikrant","Overall","Overall","Overall","Overall","70-80%",1.7606300000000006
"2026-08-17 00:00:00","2.Monday","Detective Vikrant","Overall","Overall","Overall","Overall","80-90%",0.96778
"2026-08-17 00:00:00","2.Monday","Detective Vikrant","Overall","Overall","Overall","Overall","90-100%",1.7816999999999998
"2026-08-17 00:00:00","2.Monday","Mrityunjay | मृत्युंजय","Overall","Overall","Overall","Overall","50-60%",1.60731
"2026-08-17 00:00:00","2.Monday","Mrityunjay | मृत्युंजय","Overall","Overall","Overall","Overall","60-70%",1.6401200000000002
"2026-08-17 00:00:00","2.Monday","Mrityunjay | मृत्युंजय","Overall","Overall","Overall","Overall","70-80%",1.5174500000000004
"2026-08-17 00:00:00","2.Monday","Mrityunjay | मृत्युंजय","Overall","Overall","Overall","Overall","80-90%",0.31348000000000004
"2026-08-17 00:00:00","2.Monday","Saaya: A Cursed Love Story |साया : अ कर्सड लव स्टोरी","Overall","Overall","Overall","Overall","30-40%",0.2767
"2026-08-17 00:00:00","2.Monday","Saaya: A Cursed Love Story |साया : अ कर्सड लव स्टोरी","Overall","Overall","Overall","Overall","40-50%",1.25484
"2026-08-17 00:00:00","2.Monday","Saaya: A Cursed Love Story |साया : अ कर्सड लव स्टोरी","Overall","Overall","Overall","Overall","50-60%",0.6884299999999999
"2026-08-17 00:00:00","2.Monday","Saaya: A Cursed Love Story |साया : अ कर्सड लव स्टोरी","Overall","Overall","Overall","Overall","60-70%",0.5487
"2026-08-17 00:00:00","2.Monday","Saaya: A Cursed Love Story |साया : अ कर्सड लव स्टोरी","Overall","Overall","Overall","Overall","70-80%",0.08867
"2026-08-17 00:00:00","2.Monday","Saaya: A Cursed Love Story |साया : अ कर्सड लव स्टोरी","Overall","Overall","Overall","Overall","80-90%",0.6706099999999999
"2026-08-17 00:00:00","2.Monday","Saaya: A Cursed Love Story |साया : अ कर्सड लव स्टोरी","Overall","Overall","Overall","Overall","90-100%",0.22854
"2026-08-16 00:00:00","1.Sunday","Shiva : Ek Pretyodha","Overall","Overall","Overall","Overall","0-10%",54.676810000000025
"2026-08-16 00:00:00","1.Sunday","Shiva : Ek Pretyodha","Overall","Overall","Overall","Overall","10-20%",82.68109999999997
"2026-08-16 00:00:00","1.Sunday","Shiva : Ek Pretyodha","Overall","Overall","Overall","Overall","20-30%",68.55285
"2026-08-16 00:00:00","1.Sunday","Shiva : Ek Pretyodha","Overall","Overall","Overall","Overall","30-40%",29.683449999999997
"2026-08-16 00:00:00","1.Sunday","Shiva : Ek Pretyodha","Overall","Overall","Overall","Overall","40-50%",23.182019999999998
"2026-08-16 00:00:00","1.Sunday","Shiva : Ek Pretyodha","Overall","Overall","Overall","Overall","50-60%",22.45083
"2026-08-16 00:00:00","1.Sunday","Shiva : Ek Pretyodha","Overall","Overall","Overall","Overall","60-70%",18.049810000000008
"2026-08-16 00:00:00","1.Sunday","Shiva : Ek Pretyodha","Overall","Overall","Overall","Overall","70-80%",18.512900000000005
"2026-08-16 00:00:00","1.Sunday","Shiva : Ek Pretyodha","Overall","Overall","Overall","Overall","80-90%",29.755919999999996
"2026-08-16 00:00:00","1.Sunday","Shiva : Ek Pretyodha","Overall","Overall","Overall","Overall","90-100%",31.490630000000003
"2026-08-16 00:00:00","1.Sunday","Earth's Last Stand","Overall","Overall","Overall","Overall","0-10%",1.91816
"2026-08-16 00:00:00","1.Sunday","Earth's Last Stand","Overall","Overall","Overall","Overall","10-20%",20.95367
"2026-08-16 00:00:00","1.Sunday","Earth's Last Stand","Overall","Overall","Overall","Overall","20-30%",23.565459999999998
"2026-08-16 00:00:00","1.Sunday","Earth's Last Stand","Overall","Overall","Overall","Overall","30-40%",23.383589999999998
"2026-08-16 00:00:00","1.Sunday","Earth's Last Stand","Overall","Overall","Overall","Overall","40-50%",17.425919999999998
"2026-08-16 00:00:00","1.Sunday","Earth's Last Stand","Overall","Overall","Overall","Overall","50-60%",19.329779999999996
"2026-08-16 00:00:00","1.Sunday","Earth's Last Stand","Overall","Overall","Overall","Overall","60-70%",8.162270000000003
"2026-08-16 00:00:00","1.Sunday","Earth's Last Stand","Overall","Overall","Overall","Overall","70-80%",9.655189999999997
"2026-08-16 00:00:00","1.Sunday","Earth's Last Stand","Overall","Overall","Overall","Overall","80-90%",3.78478
"2026-08-16 00:00:00","1.Sunday","Earth's Last Stand","Overall","Overall","Overall","Overall","90-100%",8.472010000000001
"2026-08-16 00:00:00","1.Sunday","Secret Fauji | सीक्रेट फौजी","Overall","Overall","Overall","Overall","0-10%",25.85718
"2026-08-16 00:00:00","1.Sunday","Secret Fauji | सीक्रेट फौजी","Overall","Overall","Overall","Overall","10-20%",15.476520000000002
"2026-08-16 00:00:00","1.Sunday","Secret Fauji | सीक्रेट फौजी","Overall","Overall","Overall","Overall","20-30%",7.337709999999997
"2026-08-16 00:00:00","1.Sunday","Secret Fauji | सीक्रेट फौजी","Overall","Overall","Overall","Overall","30-40%",6.53037
"2026-08-16 00:00:00","1.Sunday","Secret Fauji | सीक्रेट फौजी","Overall","Overall","Overall","Overall","40-50%",7.44833
"2026-08-16 00:00:00","1.Sunday","Secret Fauji | सीक्रेट फौजी","Overall","Overall","Overall","Overall","50-60%",9.839820000000003
