"Spend Period (Daily)","DOW","Slicer 1","Slicer 2","Slicer 3","Slicer 4","Slicer 5","Revenue Shared","Revenue Growth%"
"2026-08-17 00:00:00","2.Monday","Earth's Last Stand","Overall","Overall","Overall","Overall",132.88506000000007,-0.2121779793395493
"2026-08-17 00:00:00","2.Monday","Gangster Billionaire | गैंगस्टर बिलिनेर","Overall","Overall","Overall","Overall",11.107099999999999,-0.30672007959508385
"2026-08-17 00:00:00","2.Monday","Mrityunjay | मृत्युंजय","Overall","Overall","Overall","Overall",5.078360000000001,0.7469959510270359
"2026-08-17 00:00:00","2.Monday","Saaya: A Cursed Love Story |साया : अ कर्सड लव स्टोरी","Overall","Overall","Overall","Overall",3.75649,-0.6175896017485154
"2026-08-17 00:00:00","2.Monday","Secret Fauji | सीक्रेट फौजी","Overall","Overall","Overall","Overall",88.65130999999998,-0.037379212693159025
"2026-08-17 00:00:00","2.Monday","Shiva : Ek Pretyodha","Overall","Overall","Overall","Overall",402.68903000000006,0.04748274740853531
"2026-08-17 00:00:00","2.Monday","The Return of Zombie  Father | द रिटर्न ऑफ़ ज़ॉम्बी फ़ादर","Overall","Overall","Overall","Overall",25.455890000000004,-0.14865094905963572
"2026-08-17 00:00:00","2.Monday","Vashikaran | वशीकरण","Overall","Overall","Overall","Overall",46.2145,0.3448357341692365
"2026-08-17 00:00:00","2.Monday","Zombie Pralay","Overall","Overall","Overall","Overall",11.698180000000004,23.655257445149335
"2026-08-16 00:00:00","1.Sunday","Commander Vikram Chauhan । कमांडर विक्रम चौहान","Overall","Overall","Overall","Overall",11.477219999999996,-0.24373708094829905
"2026-08-16 00:00:00","1.Sunday","Detective Vikrant","Overall","Overall","Overall","Overall",9.17874,0.2791670615255115
"2026-08-16 00:00:00","1.Sunday","Earth's Last Stand","Overall","Overall","Overall","Overall",136.6508299999999,0.11995299914051327
"2026-08-16 00:00:00","1.Sunday","Gangster Billionaire | गैंगस्टर बिलिनेर","Overall","Overall","Overall","Overall",5.50418,-0.6223472027916851
"2026-08-16 00:00:00","1.Sunday","Mrityunjay | मृत्युंजय","Overall","Overall","Overall","Overall",3.7854099999999997,0.04163043597899918
"2026-08-16 00:00:00","1.Sunday","Saaya: A Cursed Love Story |साया : अ कर्सड लव स्टोरी","Overall","Overall","Overall","Overall",5.42105,-0.21994454333145785
"2026-08-16 00:00:00","1.Sunday","Secret Fauji | सीक्रेट फौजी","Overall","Overall","Overall","Overall",91.17780999999992,0.01082948322734234
"2026-08-16 00:00:00","1.Sunday","Shiva : Ek Pretyodha","Overall","Overall","Overall","Overall",379.03631999999993,0.003321496509410382
"2026-08-16 00:00:00","1.Sunday","The Return of Zombie  Father | द रिटर्न ऑफ़ ज़ॉम्बी फ़ादर","Overall","Overall","Overall","Overall",33.68432,0.2044666824237995
"2026-08-16 00:00:00","1.Sunday","Vashikaran | वशीकरण","Overall","Overall","Overall","Overall",37.14621999999999,-0.16208541282489464
"2026-08-16 00:00:00","1.Sunday","Zombie Pralay","Overall","Overall","Overall","Overall",11.382470000000001,176.99014855355747
"2026-08-15 00:00:00","7.Saturday","Commander Vikram Chauhan । कमांडर विक्रम चौहान","Overall","Overall","Overall","Overall",11.201089999999995,-0.2686912806450563
"2026-08-15 00:00:00","7.Saturday","Detective Vikrant","Overall","Overall","Overall","Overall",6.760190000000002,-0.21304561413311707
"2026-08-15 00:00:00","7.Saturday","Earth's Last Stand","Overall","Overall","Overall","Overall",121.14682000000003,0.6257226536945408
"2026-08-15 00:00:00","7.Saturday","Gangster Billionaire | गैंगस्टर बिलिनेर","Overall","Overall","Overall","Overall",5.77182,0.5142456869411913
"2026-08-15 00:00:00","7.Saturday","Mrityunjay | मृत्युंजय","Overall","Overall","Overall","Overall",0.23388,-0.7764074913241747
"2026-08-15 00:00:00","7.Saturday","Saaya: A Cursed Love Story |साया : अ कर्सड लव स्टोरी","Overall","Overall","Overall","Overall",6.621109999999999,-0.30101915857659844
"2026-08-15 00:00:00","7.Saturday","Secret Fauji | सीक्रेट फौजी","Overall","Overall","Overall","Overall",72.78765999999999,-0.2184146525709768
"2026-08-15 00:00:00","7.Saturday","Shiva : Ek Pretyodha","Overall","Overall","Overall","Overall",377.2459200000004,0.023200359606267762
"2026-08-15 00:00:00","7.Saturday","The Return of Zombie  Father | द रिटर्न ऑफ़ ज़ॉम्बी फ़ादर","Overall","Overall","Overall","Overall",25.444840000000006,-0.3492060366027545
"2026-08-15 00:00:00","7.Saturday","Vashikaran | वशीकरण","Overall","Overall","Overall","Overall",50.128409999999974,0.5644775250197935
"2026-08-15 00:00:00","7.Saturday","Zombie Pralay","Overall","Overall","Overall","Overall",4.9188,-0.39124666465349534
"2026-08-14 00:00:00","6.Friday","Commander Vikram Chauhan । कमांडर विक्रम चौहान","Overall","Overall","Overall","Overall",12.82026,-0.3896210061336608
"2026-08-14 00:00:00","6.Friday","Detective Vikrant","Overall","Overall","Overall","Overall",11.021959999999998,0.3587898811578478
"2026-08-14 00:00:00","6.Friday","Earth's Last Stand","Overall","Overall","Overall","Overall",129.64944999999997,0.8523091170570036
"2026-08-14 00:00:00","6.Friday","Gangster Billionaire | गैंगस्टर बिलिनेर","Overall","Overall","Overall","Overall",7.056870000000002,-0.02070068997674157
"2026-08-14 00:00:00","6.Friday","Mrityunjay | मृत्युंजय","Overall","Overall","Overall","Overall",0.13909,-0.8838555061959317
"2026-08-14 00:00:00","6.Friday","Saaya: A Cursed Love Story |साया : अ कर्सड लव स्टोरी","Overall","Overall","Overall","Overall",12.09767,0.07545933625156054
"2026-08-14 00:00:00","6.Friday","Secret Fauji | सीक्रेट फौजी","Overall","Overall","Overall","Overall",88.13389999999998,0.009151926234979957
"2026-08-14 00:00:00","6.Friday","Shiva : Ek Pretyodha","Overall","Overall","Overall","Overall",379.2884499999997,-0.031162942818380168
"2026-08-14 00:00:00","6.Friday","The Return of Zombie  Father | द रिटर्न ऑफ़ ज़ॉम्बी फ़ादर","Overall","Overall","Overall","Overall",29.075079999999996,-0.22137958571348637
"2026-08-14 00:00:00","6.Friday","Vashikaran | वशीकरण","Overall","Overall","Overall","Overall",26.00245000000001,-0.4191792614711338
"2026-08-14 00:00:00","6.Friday","Zombie Pralay","Overall","Overall","Overall","Overall",3.877039999999999,-0.04314561707462794
"2026-08-13 00:00:00","5.Thursday","Commander Vikram Chauhan । कमांडर विक्रम चौहान","Overall","Overall","Overall","Overall",19.240619999999996,-0.12725714013557943
"2026-08-13 00:00:00","5.Thursday","Detective Vikrant","Overall","Overall","Overall","Overall",5.91874,-0.4692246160026976
"2026-08-13 00:00:00","5.Thursday","Earth's Last Stand","Overall","Overall","Overall","Overall",137.86001,0.8753756770621277
"2026-08-13 00:00:00","5.Thursday","Gangster Billionaire | गैंगस्टर बिलिनेर","Overall","Overall","Overall","Overall",7.376620000000001,-0.5701435725665563
"2026-08-13 00:00:00","5.Thursday","Mrityunjay | मृत्युंजय","Overall","Overall","Overall","Overall",0.17017,-0.9701400611341758
"2026-08-13 00:00:00","5.Thursday","Saaya: A Cursed Love Story |साया : अ कर्सड लव स्टोरी","Overall","Overall","Overall","Overall",5.34715,-0.2393563374050648
"2026-08-13 00:00:00","5.Thursday","Secret Fauji | सीक्रेट फौजी","Overall","Overall","Overall","Overall",88.08025999999998,-0.11457753118446135
"2026-08-13 00:00:00","5.Thursday","Shiva : Ek Pretyodha","Overall","Overall","Overall","Overall",402.8695999999999,-0.05273878021498146
"2026-08-13 00:00:00","5.Thursday","The Return of Zombie  Father | द रिटर्न ऑफ़ ज़ॉम्बी फ़ादर","Overall","Overall","Overall","Overall",26.955479999999994,-0.09220054012348289
"2026-08-13 00:00:00","5.Thursday","Vashikaran | वशीकरण","Overall","Overall","Overall","Overall",35.77611,0.09636865773091352
"2026-08-13 00:00:00","5.Thursday","Zombie Pralay","Overall","Overall","Overall","Overall",2.6599299999999992,0.06767898142350237
"2026-08-12 00:00:00","4.Wednesday","Commander Vikram Chauhan । कमांडर विक्रम चौहान","Overall","Overall","Overall","Overall",11.422499999999998,-0.26154902415861214
"2026-08-12 00:00:00","4.Wednesday","Detective Vikrant","Overall","Overall","Overall","Overall",9.557990000000002,-0.09660512963985146
"2026-08-12 00:00:00","4.Wednesday","Earth's Last Stand","Overall","Overall","Overall","Overall",148.06061999999983,1.3152107269208941
"2026-08-12 00:00:00","4.Wednesday","Gangster Billionaire | गैंगस्टर बिलिनेर","Overall","Overall","Overall","Overall",10.905939999999998,-0.513211128092327
"2026-08-12 00:00:00","4.Wednesday","Mrityunjay | मृत्युंजय","Overall","Overall","Overall","Overall",0.24732,-0.9725347701902533
"2026-08-12 00:00:00","4.Wednesday","Saaya: A Cursed Love Story |साया : अ कर्सड लव स्टोरी","Overall","Overall","Overall","Overall",10.139049999999997,-0.30927114465312844
"2026-08-12 00:00:00","4.Wednesday","Secret Fauji | सीक्रेट फौजी","Overall","Overall","Overall","Overall",74.58367999999997,-0.27420352925205704
"2026-08-12 00:00:00","4.Wednesday","Shiva : Ek Pretyodha","Overall","Overall","Overall","Overall",401.0657300000002,-0.04954646387328043
"2026-08-12 00:00:00","4.Wednesday","The Return of Zombie  Father | द रिटर्न ऑफ़ ज़ॉम्बी फ़ादर","Overall","Overall","Overall","Overall",33.007780000000004,0.0032967246739448175
"2026-08-12 00:00:00","4.Wednesday","Vashikaran | वशीकरण","Overall","Overall","Overall","Overall",33.79253,0.10054818112123098
"2026-08-12 00:00:00","4.Wednesday","Zombie Pralay","Overall","Overall","Overall","Overall",1.23677,-0.7718060747404896
"2026-08-11 00:00:00","3.Tuesday","Commander Vikram Chauhan । कमांडर विक्रम चौहान","Overall","Overall","Overall","Overall",13.86441,-0.4819219886671918
"2026-08-11 00:00:00","3.Tuesday","Detective Vikrant","Overall","Overall","Overall","Overall",9.782729999999997,1.7527132546393336
"2026-08-11 00:00:00","3.Tuesday","Earth's Last Stand","Overall","Overall","Overall","Overall",141.25409,1.4822550700239252
"2026-08-11 00:00:00","3.Tuesday","Gangster Billionaire | गैंगस्टर बिलिनेर","Overall","Overall","Overall","Overall",10.311199999999998,-0.6988179322387083
"2026-08-11 00:00:00","3.Tuesday","Mrityunjay | मृत्युंजय","Overall","Overall","Overall","Overall",1.1129400000000005,-0.8366180311191166
"2026-08-11 00:00:00","3.Tuesday","Saaya: A Cursed Love Story |साया : अ कर्सड लव स्टोरी","Overall","Overall","Overall","Overall",8.977659999999998,-0.41473047115394646
"2026-08-11 00:00:00","3.Tuesday","Secret Fauji | सीक्रेट फौजी","Overall","Overall","Overall","Overall",77.44532999999997,-0.2515189186739074
"2026-08-11 00:00:00","3.Tuesday","Shiva : Ek Pretyodha","Overall","Overall","Overall","Overall",411.89875999999987,-0.045917164050532255
"2026-08-11 00:00:00","3.Tuesday","The Return of Zombie  Father | द रिटर्न ऑफ़ ज़ॉम्बी फ़ादर","Overall","Overall","Overall","Overall",37.93530999999998,0.3229060522936802
"2026-08-11 00:00:00","3.Tuesday","Vashikaran | वशीकरण","Overall","Overall","Overall","Overall",41.853619999999985,0.1353400937869853
"2026-08-11 00:00:00","3.Tuesday","Zombie Pralay","Overall","Overall","Overall","Overall",1.31758,-0.7631052809481685
"2026-08-10 00:00:00","2.Monday","Commander Vikram Chauhan । कमांडर विक्रम चौहान","Overall","Overall","Overall","Overall",8.79415,-0.5925948403021251
"2026-08-10 00:00:00","2.Monday","Detective Vikrant","Overall","Overall","Overall","Overall",6.78186,-0.3837048265032389
"2026-08-10 00:00:00","2.Monday","Earth's Last Stand","Overall","Overall","Overall","Overall",168.67396000000005,4.300097502913621
"2026-08-10 00:00:00","2.Monday","Gangster Billionaire | गैंगस्टर बिलिनेर","Overall","Overall","Overall","Overall",16.02109,0.045215203780264224
"2026-08-10 00:00:00","2.Monday","Mrityunjay | मृत्युंजय","Overall","Overall","Overall","Overall",2.90691,-0.11659378162446021
"2026-08-10 00:00:00","2.Monday","Saaya: A Cursed Love Story |साया : अ कर्सड लव स्टोरी","Overall","Overall","Overall","Overall",9.823189999999997,-0.24384883735251395
"2026-08-10 00:00:00","2.Monday","Secret Fauji | सीक्रेट फौजी","Overall","Overall","Overall","Overall",92.09369999999996,0.12742403568045324
"2026-08-10 00:00:00","2.Monday","Shiva : Ek Pretyodha","Overall","Overall","Overall","Overall",384.4349999999998,-0.05717992185998677
"2026-08-10 00:00:00","2.Monday","The Return of Zombie  Father | द रिटर्न ऑफ़ ज़ॉम्बी फ़ादर","Overall","Overall","Overall","Overall",29.90065,-0.10941400417523839
"2026-08-10 00:00:00","2.Monday","Vashikaran | वशीकरण","Overall","Overall","Overall","Overall",34.36442,0.2964638178061261
"2026-08-10 00:00:00","2.Monday","Zombie Pralay","Overall","Overall","Overall","Overall",0.47447,-0.9442841558545261
"2026-08-09 00:00:00","1.Sunday","Commander Vikram Chauhan । कमांडर विक्रम चौहान","Overall","Overall","Overall","Overall",15.17623,0.045058873190748194
"2026-08-09 00:00:00","1.Sunday","Detective Vikrant","Overall","Overall","Overall","Overall",7.17556,-0.6536932004648597
"2026-08-09 00:00:00","1.Sunday","Earth's Last Stand","Overall","Overall","Overall","Overall",122.01479,21.53286537136863
"2026-08-09 00:00:00","1.Sunday","Gangster Billionaire | गैंगस्टर बिलिनेर","Overall","Overall","Overall","Overall",14.574710000000001,6.309099571224393
"2026-08-09 00:00:00","1.Sunday","Mrityunjay | मृत्युंजय","Overall","Overall","Overall","Overall",3.634119999999999,0.7662794653705947
"2026-08-09 00:00:00","1.Sunday","Saaya: A Cursed Love Story |साया : अ कर्सड लव स्टोरी","Overall","Overall","Overall","Overall",6.94957,-0.4457088028483558
"2026-08-09 00:00:00","1.Sunday","Secret Fauji | सीक्रेट फौजी","Overall","Overall","Overall","Overall",90.20098000000007,-0.012911891415358978
"2026-08-09 00:00:00","1.Sunday","Shiva : Ek Pretyodha","Overall","Overall","Overall","Overall",377.78152000000017,0.07073840008779597
"2026-08-09 00:00:00","1.Sunday","The Return of Zombie  Father | द रिटर्न ऑफ़ ज़ॉम्बी फ़ादर","Overall","Overall","Overall","Overall",27.96617000000001,0.4763677540774611
"2026-08-09 00:00:00","1.Sunday","Vashikaran | वशीकरण","Overall","Overall","Overall","Overall",44.33175000000002,0.6628744273662404
"2026-08-09 00:00:00","1.Sunday","Zombie Pralay","Overall","Overall","Overall","Overall",0.06395,-0.9929680919613031
"2026-08-08 00:00:00","7.Saturday","Commander Vikram Chauhan । कमांडर विक्रम चौहान","Overall","Overall","Overall","Overall",15.316500000000001,0.005013090465285863
"2026-08-08 00:00:00","7.Saturday","Detective Vikrant","Overall","Overall","Overall","Overall",8.59032,-0.6252878938038273
"2026-08-08 00:00:00","7.Saturday","Earth's Last Stand","Overall","Overall","Overall","Overall",74.51874999999998,7.551406266316736
"2026-08-08 00:00:00","7.Saturday","Gangster Billionaire | गैंगस्टर बिलिनेर","Overall","Overall","Overall","Overall",3.81168,-0.1284600434434665
"2026-08-08 00:00:00","7.Saturday","Mrityunjay | मृत्युंजय","Overall","Overall","Overall","Overall",1.0460099999999999,-0.3553375201069908
"2026-08-08 00:00:00","7.Saturday","Saaya: A Cursed Love Story |साया : अ कर्सड लव स्टोरी","Overall","Overall","Overall","Overall",9.47252,-0.003622609120054854
"2026-08-08 00:00:00","7.Saturday","Secret Fauji | सीक्रेट फौजी","Overall","Overall","Overall","Overall",93.12823000000002,0.028688619657659897
"2026-08-08 00:00:00","7.Saturday","Shiva : Ek Pretyodha","Overall","Overall","Overall","Overall",368.6921299999996,0.030869222766170434
"2026-08-08 00:00:00","7.Saturday","The Return of Zombie  Father | द रिटर्न ऑफ़ ज़ॉम्बी फ़ादर","Overall","Overall","Overall","Overall",39.09814999999999,0.8260913630665583
"2026-08-08 00:00:00","7.Saturday","Vashikaran | वशीकरण","Overall","Overall","Overall","Overall",32.041630000000005,0.5494505388225455
"2026-08-08 00:00:00","7.Saturday","Zombie Pralay","Overall","Overall","Overall","Overall",8.08012,1.3623940520011346
"2026-08-07 00:00:00","6.Friday","Commander Vikram Chauhan । कमांडर विक्रम चौहान","Overall","Overall","Overall","Overall",21.00377,0.048902021670421236
"2026-08-07 00:00:00","6.Friday","Detective Vikrant","Overall","Overall","Overall","Overall",8.1116,-0.47332676257890427
"2026-08-07 00:00:00","6.Friday","Earth's Last Stand","Overall","Overall","Overall","Overall",69.99341999999997,5.803655267204656
"2026-08-07 00:00:00","6.Friday","Gangster Billionaire | गैंगस्टर बिलिनेर","Overall","Overall","Overall","Overall",7.206040000000001,0.3478756953511086
"2026-08-07 00:00:00","6.Friday","Mrityunjay | मृत्युंजय","Overall","Overall","Overall","Overall",1.19756,-0.5296252508866955
"2026-08-07 00:00:00","6.Friday","Saaya: A Cursed Love Story |साया : अ कर्सड लव स्टोरी","Overall","Overall","Overall","Overall",11.248839999999996,-0.04654929678937936
"2026-08-07 00:00:00","6.Friday","Secret Fauji | सीक्रेट फौजी","Overall","Overall","Overall","Overall",87.33461999999999,-0.19522112141151482
"2026-08-07 00:00:00","6.Friday","Shiva : Ek Pretyodha","Overall","Overall","Overall","Overall",391.48838,0.11763001049261645
"2026-08-07 00:00:00","6.Friday","The Return of Zombie  Father | द रिटर्न ऑफ़ ज़ॉम्बी फ़ादर","Overall","Overall","Overall","Overall",37.34179,1.5495698233889628
"2026-08-07 00:00:00","6.Friday","Vashikaran | वशीकरण","Overall","Overall","Overall","Overall",44.76846000000001,0.5505914755751791
"2026-08-07 00:00:00","6.Friday","Zombie Pralay","Overall","Overall","Overall","Overall",4.051860000000001,1.9339618542816188
"2026-08-06 00:00:00","5.Thursday","Commander Vikram Chauhan । कमांडर विक्रम चौहान","Overall","Overall","Overall","Overall",22.04615,0.5373905681876832
"2026-08-06 00:00:00","5.Thursday","Detective Vikrant","Overall","Overall","Overall","Overall",11.151120000000002,-0.41013471910421395
"2026-08-06 00:00:00","5.Thursday","Earth's Last Stand","Overall","Overall","Overall","Overall",73.51060999999999,6.852925780799321
"2026-08-06 00:00:00","5.Thursday","Gangster Billionaire | गैंगस्टर बिलिनेर","Overall","Overall","Overall","Overall",17.160660000000004,1.6938458350600913
"2026-08-06 00:00:00","5.Thursday","Mrityunjay | मृत्युंजय","Overall","Overall","Overall","Overall",5.69894,-0.27682831502649585
"2026-08-06 00:00:00","5.Thursday","Saaya: A Cursed Love Story |साया : अ कर्सड लव स्टोरी","Overall","Overall","Overall","Overall",7.029770000000003,-0.2528317328387475
"2026-08-06 00:00:00","5.Thursday","Secret Fauji | सीक्रेट फौजी","Overall","Overall","Overall","Overall",99.47823,-0.07404030267543582
"2026-08-06 00:00:00","5.Thursday","Shiva : Ek Pretyodha","Overall","Overall","Overall","Overall",425.29936999999995,0.33515262405597235
"2026-08-06 00:00:00","5.Thursday","The Return of Zombie  Father | द रिटर्न ऑफ़ ज़ॉम्बी फ़ादर","Overall","Overall","Overall","Overall",29.693209999999997,0.7877277240032339
"2026-08-06 00:00:00","5.Thursday","Vashikaran | वशीकरण","Overall","Overall","Overall","Overall",32.631460000000004,0.24886801284251936
"2026-08-06 00:00:00","5.Thursday","Zombie Pralay","Overall","Overall","Overall","Overall",2.4913199999999995,-0.7036150512331527
"2026-08-05 00:00:00","4.Wednesday","Commander Vikram Chauhan । कमांडर विक्रम चौहान","Overall","Overall","Overall","Overall",15.468190000000002,-0.13734062357438193
"2026-08-05 00:00:00","4.Wednesday","Detective Vikrant","Overall","Overall","Overall","Overall",10.580080000000002,-0.3964947906714086
"2026-08-05 00:00:00","4.Wednesday","Earth's Last Stand","Overall","Overall","Overall","Overall",63.951249999999995,13.531369648549953
"2026-08-05 00:00:00","4.Wednesday","Gangster Billionaire | गैंगस्टर बिलिनेर","Overall","Overall","Overall","Overall",22.40384,9.507283488570598
"2026-08-05 00:00:00","4.Wednesday","Mrityunjay | मृत्युंजय","Overall","Overall","Overall","Overall",9.004840000000003,0.33245142865598365
"2026-08-05 00:00:00","4.Wednesday","Saaya: A Cursed Love Story |साया : अ कर्सड लव स्टोरी","Overall","Overall","Overall","Overall",14.678769999999998,0.01195349587532335
"2026-08-05 00:00:00","4.Wednesday","Secret Fauji | सीक्रेट फौजी","Overall","Overall","Overall","Overall",102.76114999999999,0.041389816241749644
"2026-08-05 00:00:00","4.Wednesday","Shiva : Ek Pretyodha","Overall","Overall","Overall","Overall",421.97299999999996,0.17683924761247383
"2026-08-05 00:00:00","4.Wednesday","The Return of Zombie  Father | द रिटर्न ऑफ़ ज़ॉम्बी फ़ादर","Overall","Overall","Overall","Overall",32.899319999999996,1.758559046541793
"2026-08-05 00:00:00","4.Wednesday","Vashikaran | वशीकरण","Overall","Overall","Overall","Overall",30.70518,0.3812894298351368
"2026-08-05 00:00:00","4.Wednesday","Zombie Pralay","Overall","Overall","Overall","Overall",5.419820000000001,-0.24983321383785273
"2026-08-04 00:00:00","3.Tuesday","Commander Vikram Chauhan । कमांडर विक्रम चौहान","Overall","Overall","Overall","Overall",26.761239999999997,0.5564516175936027
"2026-08-04 00:00:00","3.Tuesday","Detective Vikrant","Overall","Overall","Overall","Overall",3.5538500000000006,-0.7123134086714373
"2026-08-04 00:00:00","3.Tuesday","Earth's Last Stand","Overall","Overall","Overall","Overall",56.905550000000005,46.583869888786694
"2026-08-04 00:00:00","3.Tuesday","Gangster Billionaire | गैंगस्टर बिलिनेर","Overall","Overall","Overall","Overall",34.235769999999995,43.138167988138974
"2026-08-04 00:00:00","3.Tuesday","Mrityunjay | मृत्युंजय","Overall","Overall","Overall","Overall",6.811889999999999,-0.2970570237128415
"2026-08-04 00:00:00","3.Tuesday","Saaya: A Cursed Love Story |साया : अ कर्सड लव स्टोरी","Overall","Overall","Overall","Overall",15.339359999999997,-0.11781005324416782
"2026-08-04 00:00:00","3.Tuesday","Secret Fauji | सीक्रेट फौजी","Overall","Overall","Overall","Overall",103.46998999999998,0.11057183560787509
"2026-08-04 00:00:00","3.Tuesday","Shiva : Ek Pretyodha","Overall","Overall","Overall","Overall",431.7222199999998,0.2648753492437872
"2026-08-04 00:00:00","3.Tuesday","The Return of Zombie  Father | द रिटर्न ऑफ़ ज़ॉम्बी फ़ादर","Overall","Overall","Overall","Overall",28.675740000000005,1.503108837688384
"2026-08-04 00:00:00","3.Tuesday","Vashikaran | वशीकरण","Overall","Overall","Overall","Overall",36.864389999999986,0.11304483563106715
"2026-08-04 00:00:00","3.Tuesday","Zombie Pralay","Overall","Overall","Overall","Overall",5.561879999999999,-0.5231179601149274
"2026-08-03 00:00:00","2.Monday","Commander Vikram Chauhan । कमांडर विक्रम चौहान","Overall","Overall","Overall","Overall",21.585759999999997,0.6508314283988068
"2026-08-03 00:00:00","2.Monday","Detective Vikrant","Overall","Overall","Overall","Overall",11.004240000000003,-0.8452274076535937
"2026-08-03 00:00:00","2.Monday","Earth's Last Stand","Overall","Overall","Overall","Overall",31.824689999999993,5.935523519989538
"2026-08-03 00:00:00","2.Monday","Gangster Billionaire | गैंगस्टर बिलिनेर","Overall","Overall","Overall","Overall",15.328029999999996,5.4058433145827935
"2026-08-03 00:00:00","2.Monday","Mrityunjay | मृत्युंजय","Overall","Overall","Overall","Overall",3.2905699999999998,-0.8536405607842439
"2026-08-03 00:00:00","2.Monday","Saaya: A Cursed Love Story |साया : अ कर्सड लव स्टोरी","Overall","Overall","Overall","Overall",12.99104,0.2214755635121144
"2026-08-03 00:00:00","2.Monday","Secret Fauji | सीक्रेट फौजी","Overall","Overall","Overall","Overall",81.68506,-0.18680859866771493
"2026-08-03 00:00:00","2.Monday","Shiva : Ek Pretyodha","Overall","Overall","Overall","Overall",407.75012,0.3128199705954171
"2026-08-03 00:00:00","2.Monday","The Return of Zombie  Father | द रिटर्न ऑफ़ ज़ॉम्बी फ़ादर","Overall","Overall","Overall","Overall",33.57413,0.8169510365683386
"2026-08-03 00:00:00","2.Monday","Vashikaran | वशीकरण","Overall","Overall","Overall","Overall",26.50627000000001,-0.2699280401956896
"2026-08-03 00:00:00","2.Monday","Zombie Pralay","Overall","Overall","Overall","Overall",8.515890000000004,-0.39785158362977957
"2026-08-02 00:00:00","1.Sunday","Commander Vikram Chauhan । कमांडर विक्रम चौहान","Overall","Overall","Overall","Overall",14.521890000000006,0.2210420725416491
"2026-08-02 00:00:00","1.Sunday","Detective Vikrant","Overall","Overall","Overall","Overall",20.720240000000008,-0.12329049974401385
"2026-08-02 00:00:00","1.Sunday","Earth's Last Stand","Overall","Overall","Overall","Overall",5.414970000000001,-0.7589044450430436
"2026-08-02 00:00:00","1.Sunday","Gangster Billionaire | गैंगस्टर बिलिनेर","Overall","Overall","Overall","Overall",1.99405,-0.4521283756865394
"2026-08-02 00:00:00","1.Sunday","Mrityunjay | मृत्युंजय","Overall","Overall","Overall","Overall",2.0575,-0.8364515511070023
"2026-08-02 00:00:00","1.Sunday","Saaya: A Cursed Love Story |साया : अ कर्सड लव स्टोरी","Overall","Overall","Overall","Overall",12.53776,-0.11833136551553425
"2026-08-02 00:00:00","1.Sunday","Secret Fauji | सीक्रेट फौजी","Overall","Overall","Overall","Overall",91.38088000000002,0.15647245633877604
"2026-08-02 00:00:00","1.Sunday","Shiva : Ek Pretyodha","Overall","Overall","Overall","Overall",352.82335999999975,0.19101731293025237
"2026-08-02 00:00:00","1.Sunday","The Return of Zombie  Father | द रिटर्न ऑफ़ ज़ॉम्बी फ़ादर","Overall","Overall","Overall","Overall",18.942549999999997,-0.45329332002250045
"2026-08-02 00:00:00","1.Sunday","Vashikaran | वशीकरण","Overall","Overall","Overall","Overall",26.659709999999993,-0.23568791416217505
"2026-08-02 00:00:00","1.Sunday","Zombie Pralay","Overall","Overall","Overall","Overall",9.094260000000007,0.40888592130356316
